"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WHIRLPOOL","EQ","11-Sep-2017","       1223.80","       1225.00","       1235.00","       1199.05","       1217.95","       1209.75","       1220.52","      13475","            16446532.85","       1430","       8100","         60.11"
"WHIRLPOOL","EQ","12-Sep-2017","       1209.75","       1209.75","       1236.00","       1205.40","       1215.95","       1220.30","       1223.19","     128598","           157299548.60","       4081","     103163","         80.22"
"WHIRLPOOL","EQ","13-Sep-2017","       1220.30","       1220.00","       1224.90","       1185.00","       1188.60","       1196.30","       1203.88","      12351","            14869068.20","       1011","       8955","         72.50"
"WHIRLPOOL","EQ","14-Sep-2017","       1196.30","       1211.00","       1236.90","       1176.25","       1229.00","       1233.75","       1223.14","      67590","            82672326.80","       5285","      46557","         68.88"
"WHIRLPOOL","EQ","15-Sep-2017","       1233.75","       1230.00","       1249.00","       1202.20","       1233.85","       1230.95","       1222.36","      48548","            59343164.25","       8750","      34752","         71.58"
"WHIRLPOOL","EQ","18-Sep-2017","       1230.95","       1234.20","       1298.00","       1233.05","       1280.10","       1286.70","       1271.58","     211471","           268901602.70","       8337","     139713","         66.07"
"WHIRLPOOL","EQ","19-Sep-2017","       1286.70","       1295.00","       1345.40","       1281.05","       1340.00","       1326.65","       1310.51","      97107","           127259588.85","       5907","      48281","         49.72"
"WHIRLPOOL","EQ","20-Sep-2017","       1326.65","       1330.00","       1348.00","       1277.25","       1283.20","       1284.80","       1311.01","      49163","            64453016.10","       3361","      23154","         47.10"
"WHIRLPOOL","EQ","21-Sep-2017","       1284.80","       1297.00","       1300.10","       1252.00","       1290.00","       1292.00","       1276.59","      38495","            49142244.65","       3050","      19099","         49.61"
"WHIRLPOOL","EQ","22-Sep-2017","       1292.00","       1294.20","       1294.20","       1250.00","       1252.00","       1256.00","       1258.61","      21844","            27493087.05","       1657","      13017","         59.59"
"WHIRLPOOL","EQ","25-Sep-2017","       1256.00","       1250.00","       1280.10","       1194.15","       1251.00","       1242.80","       1214.39","      58272","            70765177.30","       5285","      27537","         47.26"
"WHIRLPOOL","EQ","26-Sep-2017","       1242.80","       1228.45","       1285.00","       1218.10","       1261.90","       1258.85","       1240.48","      38464","            47713770.40","       1677","      25637","         66.65"
"WHIRLPOOL","EQ","27-Sep-2017","       1258.85","       1275.85","       1275.85","       1225.00","       1229.00","       1233.35","       1247.95","      17739","            22137323.20","       1373","      10109","         56.99"
"WHIRLPOOL","EQ","28-Sep-2017","       1233.35","       1235.00","       1275.00","       1231.40","       1255.05","       1255.70","       1257.21","      48133","            60513501.05","       6438","      24141","         50.15"
"WHIRLPOOL","EQ","29-Sep-2017","       1255.70","       1255.00","       1325.00","       1255.00","       1279.05","       1282.75","       1297.84","      90208","           117075727.20","       8598","      50474","         55.95"
"WHIRLPOOL","EQ","03-Oct-2017","       1282.75","       1291.00","       1305.00","       1271.95","       1276.05","       1284.80","       1293.22","      33377","            43163916.50","       2162","      20582","         61.67"
"WHIRLPOOL","EQ","04-Oct-2017","       1284.80","       1295.45","       1382.00","       1293.00","       1340.00","       1347.00","       1343.68","      88158","           118455973.05","       6507","      39242","         44.51"
"WHIRLPOOL","EQ","05-Oct-2017","       1347.00","       1313.55","       1358.00","       1313.55","       1327.10","       1331.70","       1339.77","      17106","            22918178.85","       2412","       5664","         33.11"
"WHIRLPOOL","EQ","06-Oct-2017","       1331.70","       1325.00","       1394.00","       1323.55","       1366.90","       1362.95","       1364.28","      46342","            63223567.65","       4926","      16286","         35.14"
